date,no2,month,dayofmonth,dayofweek
10/1/2013,74.27963286,1,10,3
10/1/2013,70.48746846,1,10,3
10/1/2013,69.51316,1,10,3
10/1/2013,72.8222625,1,10,3
10/1/2013,72.07800538,1,10,3
10/1/2013,72.11463692,1,10,3
10/1/2013,79.34805429,1,10,3
10/1/2013,75.258855,1,10,3
10/1/2013,79.24286786,1,10,3
10/1/2013,71.85030214,1,10,3
10/1/2013,65.44274429,1,10,3
10/1/2013,60.84881714,1,10,3
10/1/2013,57.51283643,1,10,3
10/1/2013,52.69070714,1,10,3
11/1/2013,46.99959154,1,11,4
11/1/2013,50.58643571,1,11,4
11/1/2013,51.15264786,1,11,4
11/1/2013,53.54993071,1,11,4
11/1/2013,51.81683143,1,11,4
11/1/2013,54.73028643,1,11,4
11/1/2013,61.32800214,1,11,4
11/1/2013,71.15613286,1,11,4
11/1/2013,74.12488071,1,11,4
11/1/2013,77.03566929,1,11,4
11/1/2013,76.57288,1,11,4
11/1/2013,77.20205929,1,11,4
11/1/2013,77.92109143,1,11,4
11/1/2013,79.19495214,1,11,4
11/1/2013,80.2513,1,11,4
11/1/2013,83.02695286,1,11,4
11/1/2013,83.513685,1,11,4
11/1/2013,89.28069071,1,11,4
11/1/2013,91.3591,1,11,4
11/1/2013,92.039745,1,11,4
11/1/2013,93.78633714,1,11,4
11/1/2013,89.221575,1,11,4
11/1/2013,81.98252357,1,11,4
11/1/2013,73.08086214,1,11,4
12/1/2013,66.86801308,1,12,5
12/1/2013,60.08024214,1,12,5
12/1/2013,55.81853214,1,12,5
12/1/2013,51.14411,1,12,5
12/1/2013,46.281305,1,12,5
12/1/2013,40.31143643,1,12,5
12/1/2013,41.67443429,1,12,5
12/1/2013,48.97267071,1,12,5
12/1/2013,65.310715,1,12,5
12/1/2013,69.94340357,1,12,5
12/1/2013,68.03889429,1,12,5
12/1/2013,58.45358286,1,12,5
12/1/2013,55.46813571,1,12,5
12/1/2013,52.85105,1,12,5
12/1/2013,51.86208143,1,12,5
12/1/2013,54.99417786,1,12,5
12/1/2013,55.26356643,1,12,5
12/1/2013,56.19386071,1,12,5
12/1/2013,57.73724929,1,12,5
12/1/2013,54.94253857,1,12,5
12/1/2013,49.62565214,1,12,5
12/1/2013,44.29797429,1,12,5
12/1/2013,42.18029,1,12,5
12/1/2013,40.37280643,1,12,5
13/1/2013,39.32311,1,13,6
13/1/2013,34.36378857,1,13,6
13/1/2013,35.36772643,1,13,6
